Run 1,, ,run 2,,,run 3 ,,changed detectors,run 1 - H2 D2,,,run 2,,,run 3 ,,,run 1 - h2,,,run 2,,,run 3,,,run 1 with filter,dummy data,,run 2 with nd 1 absorptive filter,broad band anti reflective coating 350 - 700 nm,,run 3 with filter,,,run 4,
wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts)
359.42,6.5,,359.42,17.89,,359.42,9.28,,630.84,7.62,,630.84,20.77,,630.84,26.23,,630.84,16.85,,630.84,15.23,,630.84,21.38,,630.84,7.23,,630.84,14.08,,630.84,27.38,,630.84,28.62
359.65,12.5,,359.65,10.89,,359.65,11.28,,630.85,22.62,,630.85,9.77,,630.85,11.23,,630.85,11.85,,630.85,13.23,,630.85,12.38,,630.85,3.23,,630.85,10.08,,630.85,21.38,,630.85,2.62
359.88,8.5,,359.88,11.89,,359.88,10.28,,630.87,7.62,,630.87,2.77,,630.87,12.23,,630.87,-0.15,,630.87,-0.77,,630.87,-1.62,,630.87,6.23,,630.87,1.08,,630.87,12.38,,630.87,3.62
360.11,14.5,,360.11,10.89,,360.11,8.28,,630.89,-6.38,,630.89,4.77,,630.89,16.23,,630.89,7.85,,630.89,17.23,,630.89,14.38,,630.89,0.23,,630.89,6.08,,630.89,8.38,,630.89,1.62
360.33,4.5,,360.33,15.89,,360.33,13.28,,630.91,-8.38,,630.91,-5.23,,630.91,3.23,,630.91,-6.15,,630.91,20.23,,630.91,1.38,,630.91,-27.77,,630.91,0.08,,630.91,-11.62,,630.91,-0.38
360.56,35.5,,360.56,42.89,,360.56,48.28,,630.93,-16.38,,630.93,-10.23,,630.93,-3.77,,630.93,-21.15,,630.93,-4.77,,630.93,-13.62,,630.93,-24.77,,630.93,-11.92,,630.93,-10.62,,630.93,-13.38
360.79,12.5,,360.79,10.89,,360.79,12.28,,630.94,20.62,,630.94,8.77,,630.94,8.23,,630.94,11.85,,630.94,28.23,,630.94,17.38,,630.94,25.23,,630.94,3.08,,630.94,16.38,,630.94,16.62
361.02,13.5,,361.02,16.89,,361.02,12.28,,630.96,20.62,,630.96,13.77,,630.96,28.23,,630.96,27.85,,630.96,19.23,,630.96,25.38,,630.96,36.23,,630.96,10.08,,630.96,30.38,,630.96,39.62
361.24,16.5,,361.24,14.89,,361.24,13.28,,630.98,36.62,,630.98,20.77,,630.98,41.23,,630.98,36.85,,630.98,39.23,,630.98,39.38,,630.98,41.23,,630.98,33.08,,630.98,30.38,,630.98,47.62
361.47,11.5,,361.47,7.89,,361.47,13.28,,631,21.62,,631,8.77,,631,-4.77,,631,5.85,,631,16.23,,631,1.38,,631,8.23,,631,7.08,,631,24.38,,631,20.62
361.7,15.5,,361.7,14.89,,361.7,13.28,,631.02,16.62,,631.02,3.77,,631.02,-6.77,,631.02,-3.15,,631.02,6.23,,631.02,17.38,,631.02,10.23,,631.02,-1.92,,631.02,14.38,,631.02,14.62
361.93,14.5,,361.93,11.89,,361.93,8.28,,631.03,10.62,,631.03,6.77,,631.03,-3.77,,631.03,7.85,,631.03,0.23,,631.03,4.38,,631.03,-7.77,,631.03,-7.92,,631.03,5.38,,631.03,3.62
362.15,14.5,,362.15,13.89,,362.15,12.28,,631.05,-4.38,,631.05,-1.23,,631.05,-3.77,,631.05,5.85,,631.05,-12.77,,631.05,-13.62,,631.05,-8.77,,631.05,-5.92,,631.05,-5.62,,631.05,-2.38
362.38,14.5,,362.38,11.89,,362.38,14.28,,631.07,2.62,,631.07,-6.23,,631.07,7.23,,631.07,18.85,,631.07,18.23,,631.07,4.38,,631.07,8.23,,631.07,11.08,,631.07,8.38,,631.07,22.62
362.61,9.5,,362.61,6.89,,362.61,13.28,,631.09,15.62,,631.09,-5.23,,631.09,4.23,,631.09,8.85,,631.09,8.23,,631.09,8.38,,631.09,-1.77,,631.09,7.08,,631.09,1.38,,631.09,15.62
362.84,12.5,,362.84,8.89,,362.84,9.28,,631.11,11.62,,631.11,-2.23,,631.11,2.23,,631.11,2.85,,631.11,-15.77,,631.11,-2.62,,631.11,-8.77,,631.11,-10.92,,631.11,-1.62,,631.11,1.62
363.07,10.5,,363.07,10.89,,363.07,16.28,,631.13,7.62,,631.13,6.77,,631.13,8.23,,631.13,-3.15,,631.13,10.23,,631.13,10.38,,631.13,-5.77,,631.13,-3.92,,631.13,5.38,,631.13,10.62
363.29,12.5,,363.29,12.89,,363.29,12.28,,631.14,0.62,,631.14,14.77,,631.14,0.23,,631.14,-11.15,,631.14,18.23,,631.14,20.38,,631.14,6.23,,631.14,-9.92,,631.14,-0.62,,631.14,-2.38
363.52,14.5,,363.52,11.89,,363.52,13.28,,631.16,11.62,,631.16,26.77,,631.16,16.23,,631.16,-4.15,,631.16,9.23,,631.16,19.38,,631.16,21.23,,631.16,7.08,,631.16,14.38,,631.16,9.62
363.75,13.5,,363.75,12.89,,363.75,12.28,,631.18,3.62,,631.18,6.77,,631.18,5.23,,631.18,-9.15,,631.18,15.23,,631.18,4.38,,631.18,7.23,,631.18,1.08,,631.18,9.38,,631.18,11.62
363.98,8.5,,363.98,11.89,,363.98,9.28,,631.2,23.62,,631.2,13.77,,631.2,-3.77,,631.2,-2.15,,631.2,-3.77,,631.2,21.38,,631.2,1.23,,631.2,11.08,,631.2,3.38,,631.2,3.62
364.2,11.5,,364.2,12.89,,364.2,9.28,,631.22,25.62,,631.22,15.77,,631.22,-1.77,,631.22,-2.15,,631.22,-6.77,,631.22,13.38,,631.22,11.23,,631.22,6.08,,631.22,13.38,,631.22,-8.38
364.43,12.5,,364.43,11.89,,364.43,12.28,,631.23,-7.38,,631.23,-7.23,,631.23,-14.77,,631.23,8.85,,631.23,3.23,,631.23,10.38,,631.23,0.23,,631.23,-4.92,,631.23,2.38,,631.23,-3.38
364.66,48.5,,364.66,20.89,,364.66,43.28,,631.25,7.62,,631.25,-2.23,,631.25,-11.77,,631.25,15.85,,631.25,-1.77,,631.25,9.38,,631.25,-10.77,,631.25,-7.92,,631.25,17.38,,631.25,-6.38
364.89,14.5,,364.89,10.89,,364.89,13.28,,631.27,11.62,,631.27,4.77,,631.27,-10.77,,631.27,11.85,,631.27,11.23,,631.27,12.38,,631.27,-0.77,,631.27,1.08,,631.27,25.38,,631.27,1.62
365.11,11.5,,365.11,10.89,,365.11,13.28,,631.29,9.62,,631.29,3.77,,631.29,4.23,,631.29,12.85,,631.29,8.23,,631.29,13.38,,631.29,-3.77,,631.29,-8.92,,631.29,19.38,,631.29,7.62
365.34,11.5,,365.34,4.89,,365.34,11.28,,631.31,-7.38,,631.31,-6.23,,631.31,15.23,,631.31,4.85,,631.31,9.23,,631.31,18.38,,631.31,6.23,,631.31,4.08,,631.31,19.38,,631.31,12.62
365.57,15.5,,365.57,8.89,,365.57,8.28,,631.33,-0.38,,631.33,7.77,,631.33,-4.77,,631.33,-4.15,,631.33,-13.77,,631.33,6.38,,631.33,4.23,,631.33,-4.92,,631.33,2.38,,631.33,13.62
